Linkki,Nimi,Lajittelu,,Note,Vuosi,Sesonki,extags,syntags,annoksia,reseptitiedosto
https://www.k-ruoka.fi/reseptit/ahvenkeitto,Ahvenkeitto,Pääruoka,Alkuruoka,,???,,"keitto, kala",,4,ahvenkeitto.yml
https://www.k-ruoka.fi/reseptit/baileys-juustokakku,Baileys Juustokakku,Jälkiruoka,Kahvi,,???,,,,,testi123.yml
https://www.bbcgoodfood.com/recipes/spinach-sweet-potato-lentil-dhal,Bataatti-pinaatti-linssidahl,Pääruoka,,"Hyvä, helppo tehdä, tulee paljon (6 annosta)",2020,,riisi,,4,pinaattibataattilinssidahl.yml
Blinit | Valio,Blinitaikina,Pääruoka,,,2022,1,,,4,testi123.yml
https://yhteishyva.fi/reseptit/mansikkabritakakku/recipe-23598,Britakakku,Kahvi,Jälkiruoka,,???,,,,,testi123.yml
https://www.bbcgoodfood.com/recipes/1094665/cheesy-broccoli-pasta-bake,Broccoli-makaronilaatikko,Pääruoka,,,???,,"pasta, uuni",,6,testi123.yml
https://www.bbcgoodfood.com/recipes/miso-broccoli-egg-quinoa-salad,Broccoli-muna-quinoasalaatti,Pääruoka,,,???,,salaatti,,4,testi123.yml
https://www.k-ruoka.fi/reseptit/chili-inkivaarikurkut,Chili inkiväärikurkut,Lisuke,,,???,,,,2,testi123.yml
https://www.bbcgoodfood.com/recipes/chorizo-mozzarella-gnocchi-bake,Chorizo-gnocchivuoka,Pääruoka,,"Potentiaalinen, kannattaa seurata resepin kypsennysohjetta seuravalla kerralla",2022,,pasta,,6,testi123.yml
https://www.martha.fi/recept/clafoutis,Clafoutis,Jälkiruoka,Kahvi,,2021,,,,,testi123.yml
https://kotiliesi.fi/resepti/creme-ninon-eli-ranskalainen-hernekeitto/,Creme ninon hernekeitto,Alkuruoka,,,???,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/dandan-nuudelit,dandan nuudelit,Pääruoka,,,2022,,pasta,,,testi123.yml
https://www.k-ruoka.fi/reseptit/fenkoli-katkarapurisotto,Fenkoli-katkarapurisotto,Pääruoka,,,2022,,riisi,,,testi123.yml
https://www.k-ruoka.fi/reseptit/sitruunaiset-fenkoli-perunanyytit,Fenkoliperunapaistos,Lisuke,,Jos tekee uunissa folio tai kansi päälle,,,,,,testi123.yml
https://www.bbcgoodfood.com/recipes/feta-peach-couscous,Feta-persikkacouscoussalaatti,Pääruoka,lisuke,,2020,,salaatti,,,testi123.yml
https://www.k-ruoka.fi/reseptit/georgialainen-possupata,Georgialainen possupata,Pääruoka,,"Hyvää, ei liikaa haudutusta",???,,"uuni, liha",,,testi123.yml
https://yhteishyva.fi/reseptit/gluteeniton-mansikka-juustokakku/recipe-3833,Gluteeniton (mansikka)juustokaku,Kahvi,Jälkiruoka,,???,,,,,testi123.yml
https://www.bbcgoodfood.com/recipes/gnocchi-mushrooms-blue-cheese,Gnocchi sienillä ja sinihomejuustolla,Pääruoka,,,2020,,"pasta, sienet",,,testi123.yml
https://www.bbcgoodfood.com/recipes/blue-cheese-gnocchi?utm_source=app,Gnocchi sinihomejuustolla,Pääruoka,Alkuruoka,,2021,,pasta,,,testi123.yml
https://www.k-ruoka.fi/reseptit/gnocchilasagne,gnocchilasagne,Pääruoka,,,2021,,pasta,,,testi123.yml
https://www.k-ruoka.fi/reseptit/gochujang-kurkut,Gochujang kurkut,Lisuke,,,2021,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/gruusialainen-kaalilaatikko,Gruusialainen kaalilaatikko,Pääruoka,,Voisi tehdä kaikki yhdessä padassa. Ohraa voi lisätä ruokaisuuden takia- sekaan vaan ennen kuin menee uuniin,2021,,uuni,,,testi123.yml
https://www.k-ruoka.fi/reseptit/halloumi-kasvispihvit,Halloumi-kasvispihvit,Pääruoka,,älä sooloile. harkitse ylimääräisen kananmunan lisäämistä,2022,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/hoisintofu,Hoisintofu,Pääruoka,,Tofua voi marinoida yön yli,2021,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/hoyrytetyt-sampylat,Höyrytetyt sämpylät,Snack,,,???,,,,,testi123.yml
https://yhteishyva.fi/reseptit/inkivaarishotti/3q4K5RIAiIesKKwG4c2cao?fbclid=IwAR15k6QRCTEM271gCRQ_M5lzC3-LcgpVMBgpFCLj3mrhOMHwLvZ8hvqJD1g,Inkiväärishotti,Juoma,,,???,,,,,testi123.yml
https://www.martat.fi/reseptit/juustopiiras-versosalaatilla/,Juustopiiras versosalaatilla,Kahvi,,,2022,,,,,testi123.yml
https://yhteishyva.fi/reseptit/kaalilaatikko/recipe-4544,Kaalilaatikko,pääruoka,,"Hyvä, valmistumiseen menee aikaa",2019,,uuni,,,testi123.yml
https://www.bbcgoodfood.com/recipes/kadala-curry,Kadala curry,Pääruoka,,"Aavistuksen työläs, toisaalta tulee paljon kerralla. Voinee oikaista punaisen currytahnan kanssa",???,,riisi,,,testi123.yml
"https://www.vaimomatskuu.com/merenelavat/sahramirisottoa-ja-kampasimpukoita/
",kampasimpukkarisotto,Pääruoka,,,2019,,riisi,,,testi123.yml
https://www.bbcgoodfood.com/recipes/chicken-kale-mushroom-pot-pie,Kana lehtikaali sienipiiras,Pääruoka,,"hyvä, voi maustaa enemmän kuin ohje sanoo",???,,"uuni, sieni, kana",,,testi123.yml
https://www.bbcgoodfood.com/recipes/1167651/chicken-and-chorizo-jambalaya,kana-chorizo-jambalaya,Pääruoka,,"helppo ja hyvä, sopivasti maustetta. Varioi reseptiä, proteiinina esim. pavut, lisää maissia jne.",???,,"kana, riisi",,,testi123.yml
https://www.k-ruoka.fi/reseptit/kantarellipasta,Kantarellipasta,Pääruoka,,Takuuvarma,2022,,"pasta, sieni",,,testi123.yml
https://www.k-ruoka.fi/reseptit/karviais-marenkipiirakka,karviaismarenkipiirakka,Jälkiruoka,Kahvi,,???,,,,,testi123.yml
https://www.k-ruoka.fi/reseptit/kasvispyorykat-harissa-tomaattikastikkeessa,Kasvispyörykät Harissa Tomaattikastikkeessa,Pääruoka,,,2022,,riisi,,,testi123.yml
https://damndelicious.net/2019/01/30/creamy-tortellini-soup/,Kermainen tortellonikeitto,Pääruoka,,"Herkullista! Kannattaa tehdä tomaattikeitto eka, johon lisää makkarat ja tortellonit. ",2020,,"keitto, pasta",,,testi123.yml
https://www.hs.fi/ruoka/reseptit/art-2000009009291.html?share=a296c56b04df48564c74f0fa04afd7ca,Kiinankaali-tahininuudelit,Pääruoka ,,"hyvä, kaipaa enemmän kaalia ja papuja suhteessa nuudeleihin",2022,,pasta,,,testi123.yml
https://liemessa.fi/2020/03/kikherne-limonello/,Kikhernelimonellopasta,Pääruoka,,"Nopea, kannattaa tuunata esim. tuoreilla yrteillä",2022,,"pasta, pavut",,,testi123.yml
